OTU	Domain		Phylum		Class		Order		Family		Genus		A1.FF	A2.FF	A3.FF	A4.FF	A5.FF	A6.FF	B1.FF	B2.FF	B3.FF	B4.FF	B5.FF	B6.FF	C1.FF	C2.FF	C3.FF	C4.FF	C5.FF	C6.FF	D1.FF	D2.FF	D3.FF	D4.FF	D5.FF	D6.FF
Otu00042	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Gymnopus	98%	0	0	0	0	0	5	0	0	19	0	0	0	0	0	0	0	74	0	25	0	0	0	16	0
Otu00043	Fungi	100%	Ascomycota	100%	Leotiomycetes	99%	Leotiomycetes incertae sedis	42%	Leotiomycetes incertae sedis	42%	Collophora	42%	0	0	1	4	0	0	5	34	0	30	6	14	0	2	0	3	0	5	2	0	0	8	3	14
Otu00044	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	73%	Clavariaceae	73%	Macrotyphula	73%	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	4	0	0	0	0	33	61	21
Otu00045	Fungi	100%	Ascomycota	100%	Dothideomycetes	100%	Dothideomycetes incertae sedis	100%	Micropeltidaceae	100%	Stomiopeltis	100%	19	4	3	2	12	12	10	3	3	0	0	4	6	2	11	2	22	2	0	5	1	2	0	2
Otu00046	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	99%	Tricholomataceae	97%	Hemimycena	97%	0	0	0	0	0	0	1	2	0	53	0	0	4	29	0	14	0	0	5	1	0	9	8	1
Otu00047	Fungi	100%	Basidiomycota	100%	Agaricomycetes	95%	Auriculariales	94%	Exidiaceae	68%	Heterochaete	32%	8	1	0	18	11	2	12	39	4	0	15	8	0	0	0	0	0	0	2	0	1	1	0	4
Otu00048	Fungi	100%	Ascomycota	100%	Leotiomycetes	56%	Helotiales	56%	Helotiales incertae sedis	52%	Chalara	51%	0	80	19	0	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00049	Fungi	100%	Basidiomycota	100%	Agaricomycetes	98%	Agaricales	72%	Tricholomataceae	65%	Arrhenia	22%	7	4	0	1	4	0	40	13	5	1	23	5	1	3	1	1	1	0	0	1	1	0	1	0
Otu00050	Fungi	100%	Ascomycota	100%	Leotiomycetes	100%	Leotiomycetes incertae sedis	33%	Leotiomycetes incertae sedis	33%	Collophora	33%	0	0	0	0	0	0	7	24	6	13	25	10	0	0	0	0	0	2	1	1	0	3	3	14
Otu00051	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Entolomataceae	75%	Clitopilus	72%	12	1	0	3	0	0	1	8	0	0	8	48	3	10	4	0	3	0	3	0	1	0	0	2
Otu00052	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Crepidotaceae	100%	Crepidotus	100%	17	27	15	6	12	9	1	2	0	0	0	0	9	0	0	0	4	0	0	3	0	0	0	0
Otu00053	Fungi	100%	Ascomycota	100%	Sordariomycetes	100%	Sordariomycetes incertae sedis	100%	Sordariomycetes incertae sedis	100%	Polyscytalum	50%	16	4	0	7	1	1	41	4	0	2	2	1	15	1	0	0	3	1	0	1	3	0	0	0
Otu00054	Fungi	100%	Ascomycota	100%	Ascomycota incertae sedis	58%	Ascomycota incertae sedis	58%	Ascomycota incertae sedis	58%	Anungitopsis	55%	1	7	0	4	9	2	7	20	2	13	8	13	0	0	0	0	0	4	0	0	0	3	0	9
Otu00055	Fungi	100%	Ascomycota	100%	Ascomycota incertae sedis	47%	Ascomycota incertae sedis	47%	Ascomycota incertae sedis	47%	Anungitopsis	47%	4	10	4	6	6	6	6	1	6	10	14	4	9	2	0	3	1	4	0	0	0	3	2	0
Otu00056	Fungi	100%	Ascomycota	100%	Leotiomycetes	98%	Helotiales	98%	Helotiales incertae sedis	73%	Chalara	52%	5	0	0	4	9	4	13	0	0	2	4	20	0	0	13	3	7	2	0	1	0	7	0	1
Otu00057	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Entolomataceae	100%	Nolanea	100%	4	42	0	3	15	0	2	0	0	0	0	0	1	0	7	2	7	2	6	2	0	0	0	0
Otu00058	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Strophariaceae	77%	Psilocybe	61%	0	1	0	0	0	0	62	16	0	0	0	3	1	0	8	0	0	1	0	0	0	0	0	0
Otu00059	Fungi	100%	Basidiomycota	100%	Tremellomycetes	99%	Tremellales	97%	Christianseniaceae	92%	Christiansenia	92%	1	3	8	7	6	1	3	5	0	2	6	25	1	0	0	1	2	12	2	0	0	4	1	2
Otu00060	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Mycena	100%	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	51	0	33
Otu00061	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Clitocybe	99%	0	0	0	0	0	0	55	0	0	0	0	0	4	0	31	0	0	0	0	0	0	0	0	0
Otu00062	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Mycena	99%	0	0	2	0	2	0	0	35	0	2	0	22	0	0	0	0	0	17	0	0	0	0	0	9
Otu00063	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	0	1	0	0	0	0	0	4	4	0	18	2	1	3	14	3	4	18	0	0	0	5	2	10
Otu00064	Fungi	100%	Ascomycota	100%	Ascomycota incertae sedis	75%	Ascomycota incertae sedis	75%	Ascomycota incertae sedis	75%	Scolecobasidiella	44%	52	1	0	3	5	0	2	3	0	4	4	2	0	4	0	3	3	0	0	0	0	1	1	1
Otu00065	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Crepidotaceae	100%	Crepidotus	100%	2	0	0	0	0	0	3	9	10	0	9	15	4	1	5	11	0	13	0	1	1	0	5	0
Otu00066	Fungi	100%	Ascomycota	100%	Sordariomycetes	100%	Sordariomycetes incertae sedis	100%	Sordariomycetes incertae sedis	100%	Polyscytalum	95%	0	0	0	0	0	0	2	6	22	17	1	7	0	1	0	1	1	6	0	0	0	3	4	16
Otu00067	Fungi	100%	Ascomycota	100%	Leotiomycetes	99%	Helotiales	99%	Helotiales incertae sedis	66%	Chalara	41%	17	4	11	6	14	6	0	3	0	0	0	0	6	1	6	0	2	0	3	6	1	0	0	0
Otu00068	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Polyporales	53%	Polyporales incertae sedis	53%	Aphyllophoralean	53%	0	0	0	0	0	0	0	35	28	11	5	0	0	0	0	4	0	0	0	0	0	0	0	0
Otu00069	Fungi	100%	Ascomycota	100%	Leotiomycetes	99%	Helotiales	79%	Helotiales incertae sedis	71%	Fulvoflamma	49%	6	15	8	11	11	7	1	0	0	5	1	8	0	0	0	0	0	2	1	0	0	2	0	5
Otu00070	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Cantharellales	100%	Ceratobasidiaceae	100%	Ceratobasidium	89%	0	0	0	0	0	0	59	0	0	0	0	0	3	9	9	0	0	1	0	0	0	1	0	0
Otu00071	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Mycena	99%	4	8	4	0	1	25	0	0	0	0	0	0	7	0	1	0	31	0	0	0	0	0	0	0
Otu00072	Fungi	100%	Ascomycota	100%	Sordariomycetes	100%	Sordariomycetes incertae sedis	99%	Sordariomycetes incertae sedis	99%	Polyscytalum	74%	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	27
Otu00073	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Mycena	47%	0	0	0	0	0	0	4	7	5	4	0	2	8	9	0	0	0	0	1	1	0	16	19	3
Otu00074	Fungi	100%	Basidiomycota	100%	Agaricomycetes	92%	Thelephorales	13%	Thelephoraceae	13%	Amaurodon	9%	1	0	0	0	1	0	7	11	0	0	2	21	2	0	4	3	0	1	1	0	4	3	17	0
Otu00075	Fungi	100%	Ascomycota	100%	Sordariomycetes	99%	Xylariales	73%	Xylariales incertae sedis	42%	Subramaniomyces	33%	20	8	1	0	0	0	3	14	5	9	2	4	0	1	0	1	1	2	0	2	0	5	0	0
Otu00076	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Mycena	99%	0	3	2	2	0	0	1	3	0	37	0	0	0	1	4	1	0	12	1	0	0	3	7	0
Otu00077	Fungi	100%	Ascomycota	100%	Pezizomycetes	62%	Pezizales	62%	Pezizales incertae sedis	62%	Phialea	62%	8	13	2	7	3	13	1	0	0	8	0	3	0	0	7	0	11	0	1	0	0	0	0	0
Otu00078	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Clitocybe	99%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0
Otu00079	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Russulales	20%	Podoscyphaceae	17%	Cymatoderma	13%	0	0	0	0	0	0	1	5	0	0	0	0	4	0	1	8	0	0	0	0	0	2	2	51
Otu00080	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Cantharellales	100%	Ceratobasidiaceae	100%	Ceratobasidium	98%	0	0	0	0	0	0	51	0	0	0	0	0	1	11	0	0	0	0	0	0	1	9	0	0
Otu00081	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Clitocybe	98%	0	0	0	5	0	0	0	13	25	0	0	0	0	13	0	0	0	0	0	10	0	5	0	0
Otu00082	Fungi	100%	Ascomycota	100%	Dothideomycetes	94%	Pleosporales	94%	Pleomassariaceae	64%	Pleomassaria	64%	6	0	0	0	0	0	35	4	0	0	1	0	4	0	0	0	0	0	0	2	0	12	0	7
Otu00083	Fungi	99%	Ascomycota	96%	Ascomycota incertae sedis	33%	Ascomycota incertae sedis	33%	Ascomycota incertae sedis	33%	Anungitopsis	33%	1	7	1	0	10	3	5	3	1	22	13	3	0	0	0	0	0	0	0	0	0	0	0	0
Otu00084	Fungi	100%	Ascomycota	100%	Dothideomycetes	100%	Dothideomycetes incertae sedis	100%	Dothideomycetes incertae sedis	100%	Repetophragma	100%	3	2	0	0	0	0	11	0	10	0	14	9	0	4	0	7	3	4	0	0	0	1	1	0
Otu00085	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Marasmiaceae	97%	Marasmius	91%	0	0	0	0	0	0	3	9	2	3	0	0	5	1	5	10	4	0	2	0	1	7	16	0
Otu00086	Fungi	100%	Ascomycota	100%	Pezizomycetes	82%	Pezizales	82%	Pezizales incertae sedis	82%	Phialea	82%	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	23	0	1	0	29	0	10
